module,namespace,function_count,total_bytes,vftable_count,first_addr,last_addr
Engine.DS.Core,CDSApp,21,1574,4,00401040,00467431
Engine.DS.Core,CDSCollection,7,534,2,00401230,00431409
Engine.DS.Core,CDSView,10,391,4,00403390,0042cadb
Engine.DS.Core,CDSChain,8,334,2,004011f0,0042fc97
Engine.DS.Core,CDSWorkingThread,5,140,2,00447210,004472fe
Engine.DS.Core,CDSChained,3,44,2,004032c0,00433dee
Engine.DS.Core,CDSScript,3,44,2,004383e0,00438cae
Engine.DS.Core,CDSObject,2,20,1,004011e0,004245ce
Engine.DS.Stream,CDSStreamStorage,22,1487,3,00401850,004348ca
Engine.DS.Stream,CDSFilterStream,19,1225,4,0042ff90,00430ffe
Engine.DS.Stream,CDSGZipStream,19,1116,4,00409030,00446c2a
Engine.DS.Stream,CDSFileStream,26,1094,4,00401600,00433940
Engine.DS.Stream,CDSEasyMemStream,15,987,3,004091f0,00430dc8
Engine.DS.Stream,CDSQueueStream,15,775,3,00428960,0043c1c7
Engine.DS.Stream,CDSSafeStream,16,646,4,00433b60,00447046
Engine.DS.Stream,CDSGZipStreamData,4,146,2,00434fa0,0043504e
Engine.DS.Stream,CDSSafeStreamInfo,4,138,2,00446cb0,0044709e
Engine.DS.Stream,CDSMemQueue,2,36,1,0043c3c0,0043c58e
Engine.DS.Resource,CDSDsmFile,31,2061,6,004289a0,0043c79a
Engine.DS.Resource,CDSFlxFile,27,1685,5,00432740,00437025
Engine.DS.Resource,CDSResourceSign,14,427,4,0042e680,004349be
Engine.DS.Resource,CDSResInfo,5,130,2,004339f0,004342eb
Engine.DS.Resource,CDSStrmResInfo,3,104,2,00433940,00433a96
Engine.DS.Resource,CDSUpdatedItem,1,6,1,0042ea70,0042ea76
Engine.DS.Resource,CDSStrmStgLoadingInfo,1,6,2,00433db0,00433db6
Engine.DS.Graphics,CDSJpegImage,40,7393,5,00431510,0046c99f
Engine.DS.Graphics,CDSBmpImage,12,1454,5,00425130,004360ca
