class_name,vftable_addr,obj_offset,role,slots,purecall_slots,slot0,slot1,slot2,key_methods,notes
CDSApp,0048700c,0,primary,34,,CDSApp_GetClassTable,CDSApp_DtorScalar,CDSApp_dtor,,g_pCDSApp_vftable; COL@00487008; documented in app_shell.md
CAdvertising,0x004817b8,,IDSChained,5,0,FUN_004034d0,FUN_0040e760,FUN_0040e770,[0]=FUN_004034d0; [1]=FUN_0040e760; [2]=FUN_0040e770; [3]=deleting_destructor_thunk_0x70; [4]=OnTimerTick,
CAdvertising,0x004817d0,,IDSEventHandler,4,0,FUN_00402890,FUN_004049d0,FUN_00423db0,[0]=FUN_00402890; [1]=FUN_004049d0; [2]=FUN_00423db0; [3]=deleting_destructor_thunk_0x18,
CAdvertising,0x004817e4,,IDSChained,5,0,FUN_00402880,FUN_004049c0,FUN_004034a0,[0]=FUN_00402880; [1]=FUN_004049c0; [2]=FUN_004034a0; [3]=deleting_destructor_thunk_0x10; [4]=CDSView_DispatchEvent,
CAdvertising,0x004817fc,,IDSChained,6,0,FUN_004011f0,FUN_0042ac90,FUN_0041aa40,[0]=FUN_004011f0; [1]=FUN_0042ac90; [2]=FUN_0041aa40; [3]=deleting_destructor_thunk_0x4; [4]=CDSView_NoOpStub; [5]=CDSView_NoOpStub,
CAdvertising,0x0048181c,0x0,primary,28,0,GetClassId,deleting_destructor,CDSObject_ReleaseViaVtable,[0]=GetClassId; [1]=deleting_destructor; [2]=CDSObject_ReleaseViaVtable; [3]=CDSView_GetDataSize; [4]=CDSView_SaveData; [5]=CDSView_LoadData,
CAnim,0x00481ff4,,IDSEventHandler,4,0,GetTypeInfo_Sub78,FUN_0041ab40,FUN_00419930,[0]=GetTypeInfo_Sub78; [1]=FUN_0041ab40; [2]=FUN_00419930; [3]=FUN_00419b20,
CAnim,0x00482008,,IDSChained,5,0,IDSAnim_NotifyEvents,IDSAnim_BindUserData,IDSAnim_SetSequence_thunk,[0]=IDSAnim_NotifyEvents; [1]=IDSAnim_BindUserData; [2]=IDSAnim_SetSequence_thunk; [3]=CDSView_EmptyHook27; [4]=FUN_00419280,
CAnim,0x00482020,,IDSEventHandler,4,0,GetTypeInfo_Sub68,FUN_0041a980,FUN_00418ed0,[0]=GetTypeInfo_Sub68; [1]=FUN_0041a980; [2]=FUN_00418ed0; [3]=FUN_00419b30,
CAnim,0x00482034,,IDSEventHandler,4,0,FUN_00402890,FUN_004049d0,FUN_00423db0,[0]=FUN_00402890; [1]=FUN_004049d0; [2]=FUN_00423db0; [3]=FUN_00419b10,
