class_name;vftable_addr;obj_offset;slot;method_addr;method_name;is_pure_virtual
CAdvertising;004817b8;;0;004034d0;CScroller::FUN_004034d0;0
CAdvertising;004817b8;;1;0040e760;CStartGame2::FUN_0040e760;0
CAdvertising;004817b8;;2;0040e770;CStartGame2::FUN_0040e770;0
CAdvertising;004817b8;;3;0040e730;CAdvertising::deleting_destructor_thunk_0x70;0
CAdvertising;004817b8;;4;0040b4b0;CAdvertising::OnTimerTick;0
CAdvertising;004817d0;;0;00402890;CBulanci::FUN_00402890;0
CAdvertising;004817d0;;1;004049d0;CBulanci::FUN_004049d0;0
CAdvertising;004817d0;;2;00423db0;CDSView::FUN_00423db0;0
CAdvertising;004817d0;;3;0040e740;CAdvertising::deleting_destructor_thunk_0x18;0
CAdvertising;004817e4;;0;00402880;CBulanci::FUN_00402880;0
CAdvertising;004817e4;;1;004049c0;CBulanci::FUN_004049c0;0
CAdvertising;004817e4;;2;004034a0;CDSView::FUN_004034a0;0
CAdvertising;004817e4;;3;0040e720;CAdvertising::deleting_destructor_thunk_0x10;0
CAdvertising;004817e4;;4;0042c040;CAdvertising::CDSView_DispatchEvent;0
CAdvertising;004817fc;;0;004011f0;CDSChain::FUN_004011f0;0
CAdvertising;004817fc;;1;0042ac90;CDSChain::FUN_0042ac90;0
CAdvertising;004817fc;;2;0041aa40;CDSChain::FUN_0041aa40;0
CAdvertising;004817fc;;3;0040e750;CAdvertising::deleting_destructor_thunk_0x4;0
CAdvertising;004817fc;;4;00438340;CAdvertising::CDSView_NoOpStub;0
CAdvertising;004817fc;;5;00438340;CAdvertising::CDSView_NoOpStub;0
CAdvertising;0048181c;;0;0040e710;CAdvertising::GetClassId;0
CAdvertising;0048181c;;1;0040fb70;CAdvertising::deleting_destructor;0
CAdvertising;0048181c;;2;004245c0;CAdvertising::CDSObject_ReleaseViaVtable;0
CAdvertising;0048181c;;3;0042c2e0;CAdvertising::CDSView_GetDataSize;0
CAdvertising;0048181c;;4;0042c320;CAdvertising::CDSView_SaveData;0
CAdvertising;0048181c;;5;0042c370;CAdvertising::CDSView_LoadData;0
CAdvertising;0048181c;;6;004033a0;CAdvertising::CDSView_GetDataKindStubZero;0
CAdvertising;0048181c;;7;004028a0;CAdvertising::CDSView_HitTest;0
CAdvertising;0048181c;;8;0042cae0;CAdvertising::CDSView_AdaptDisplaySize;0
CAdvertising;0048181c;;9;0042ca30;CAdvertising::CDSView_InvalidateRectClipped;0
CAdvertising;0048181c;;10;0042c580;CAdvertising::CDSView_ComputeAnchoredRect;0
CAdvertising;0048181c;;11;0042c480;CAdvertising::CDSView_SetRect;0
CAdvertising;0048181c;;12;0042c430;CAdvertising::CDSView_GetParentBounds;0
CAdvertising;0048181c;;13;0042c3e0;CAdvertising::CDSView_IsModalDoneRecursive;0
CAdvertising;0048181c;;14;004055c0;CWindow::CWindow_Render;0
CAdvertising;0048181c;;15;00438340;CAdvertising::CDSView_NoOpStub;0
CAdvertising;0048181c;;16;00438340;CAdvertising::CDSView_NoOpStub;0
CAdvertising;0048181c;;17;00438340;CAdvertising::CDSView_NoOpStub;0
