id          fileSize | totalSize f1 f2 f3 f4 f5 f6 f7 f8 f9 f10
--------------------------------------------------------------------------------------------------------------
0000065713      2013 |      2013   331   331   104    31    18     3  1136    16   331 57091
0000065714     39719 |     39719  5467   204     2   101    84     3   781    11   204 23043
0000065715      3380 |      3380   588   588   104    52    24     3   568     8   588 107267
0000065716      2426 |      2426  1476  1476   104    55    43     3  1275    15  1476 376577
0000065717      2614 |      2614  1476  1476   104    55    43     3  1275    15  1476 376577
0000065718      2330 |      2330  1476  1476   104    55    43     3  1275    15  1476 376577
0000065719      1612 |      1612  1476  1476   104    55    43     3  1700    20  1476 376577
0000065720      2283 |      2283  1476  1476   104    55    43     3  1275    15  1476 376577
0000065721      2120 |      2120  1476  1476   104    55    43     3  1275    15  1476 376577
0000065722      1701 |      1701  1476  1476   104    55    43     3  1275    15  1476 376577
0000065723      1612 |      1612  1476  1476   104    55    43     3  1700    20  1476 376577
0000065724      5596 |      5596  1407  1407   104    55    43     3  1275    15  1407 358913
0000065725      5551 |      5551  1407  1407   104    55    43     3  1275    15  1407 358913
0000065726      2608 |      2608  1407  1407   104    55    43     3  1275    15  1407 358913
0000065727      1543 |      1543  1407  1407   104    55    43     3  1700    20  1407 358913
0000065728      1752 |      1752  1398  1398   104    55    43     3  1275    15  1398 356609
0000065729      2120 |      2120  1398  1398   104    55    43     3  1275    15  1398 356609
0000065730      2266 |      2266  1398  1398   104    55    43     3  1275    15  1398 356609
0000065731      1534 |      1534  1398  1398   104    55    43     3  1700    20  1398 356609
0000065732     12822 |     12822  1481  1411   104    55    62     3   378     8  1411 338179
0000065733     12903 |     12903  1507  1408   104    55    62     3   378     8  1408 337411
0000065734     11921 |     11921  1402  1317   104    55    62     3   378     8  1317 307203
0000065735     12081 |     12081  1395  1344   104    55    62     3   378     8  1344 314115
0000065736     11910 |     11910  1405  1317   104    55    62     3   378     8  1317 307203
0000065737     11410 |     11410  1350  1254   104    55    62     3   378     8  1254 291075
0000065738     11463 |     11463  1469  1389   104    55    62     3   378     8  1389 331523
0000065739     11480 |     11480  1467  1387   104    55    62     3   378     8  1387 331011
0000065740     18111 |     18111  2750  1443   104   124    94     3  2201    31  1443 365570
0000065741     17878 |     17878  2750  1424   104   124    94     3  2201    31  1424 360706
0000065742     18386 |     18386  3033  1319   104   133    94     3  2201    31  1319 333826
0000065743     18360 |     18360  3033  1329   104   133    94     3  2201    31  1329 336386
0000065744     18377 |     18377  3033  1321   104   133    94     3  2201    31  1321 334338
0000065745     17998 |     17998  3033  1261   104   133    94     3  2201    31  1261 318978
0000065746     18098 |     18098  2684  1395   104   135    93     3  2201    31  1395 353282
0000065747     18024 |     18024  2684  1389   104   135    93     3  2201    31  1389 351746
0000065748     26717 |     26717  3300  3274    41    64    65     3   568     8  3274 724482
0000065749     26904 |     26904  3819  3819    41    64    65     3   568     8  3819 814338
0000065750     52238 |     52238  5105    24    10   442   127     3  3920    39    24  2306
0000065751     14721 |     14721  3243    24    10   171    30     3  1040    12    24  2306
0000065752      3441 |      3441  1823  1823 4294967295    39    27     3   765     8  1823 267010
0000065753     57063 |     57063  1483  1483   104    54    59     3  2310    54  1483 337922
0000065754      9602 |      9602   962    33   104    52   153     3   855    15    33  2307
0000065755      4387 |      4387   742   742   104    52    31     3   568     8   742 151299
0000065756      2377 |      2377   386   386   104    15    34     3   710    10   386 72451
0000065757       866 |       866   232   232   104    22    15     3  1420    20   232 31747
0000065758      2791 |      2791   474   474   104    52    22     3   568     8   474 85763
0000065759      3199 |      3199  1497  1497   104   116   114     3   497     7  1497 321539
0000065760      1784 |      1784  1497  1497   104   116   114     3   355     5  1497 321539
0000065761     15098 |     15098  1497  1497   104   116   114     3  1420    20  1497 321539
0000065762     27318 |     27318  2115  1497   104   116   114     3  1420    20  1497 321539
0000065763      1633 |      1633  1497  1497   104   116   114     3  1420    20  1497 321539
0000065764     13395 |     13395   561   561   104    21    37     3  2805    32   561 96259
0000065765      5354 |      5354   561   561   104    21    37     3  2720    31   561 96259
0000065766     12966 |     12966   561   561   104    21    37     3  2805    32   561 96259
0000065767      1243 |      1243   434    24   104    54    55     3   426     6    24  2306
0000065768      1665 |      1665   517   517   104    54    55     3   426     6   517 103426
0000065769      1902 |      1902   517   517   104    54    55     3   639     9   517 103426
0000065770      2352 |      2352   517   517   104    54    55     3   426     6   517 103426
0000065771      1356 |      1356   428    24   104    54    55     3   426     6    24  2306
0000065772      1719 |      1719   506   506   104    54    55     3   426     6   506 103170
0000065773      1895 |      1895   506   506   104    54    55     3   639     9   506 103170
0000065774      2443 |      2443   506   506   104    54    55     3   426     6   506 103170
0000065775      1769 |      1769   962   962   104    66    53     3   710    10   962 196354
0000065776      2128 |      2128   962   962   104    66    53     3   639     9   962 196354
0000065777      1237 |      1237   962   962   104    66    53     3   497     7   962 196354
0000065778      4449 |      4449   962   962   104    66    53     3   710    10   962 196354
0000065779      1058 |      1058   962   962   104    66    53     3   852    12   962 196354
0000065780     36349 |     36349  3490  3490 4294967295    63    46     3  2040    23  3490 732418
0000065781    188627 |    188627 45267 45267   252   243   334     3  8591   120 45267 11393794
0000065782   1923304 |   1923304 36033 36033     2   308   255     3  7055    82 36033 9104642
0000065783    446246 |    446246  9677  9677     2   124   191     3  7055    82  9677 2390786
0000065784    662814 |    662814 19918 19918   244   272   152     3  4250    49 19918 4941570
0000065785    261939 |    261939  7225  7225   244   135   105     3  4250    49  7225 1713666
0000065786   2833078 |   2833078 46618 46618     6   280   279     3  6816    95 46618 11766274
0000065787   1077577 |   1077577 24188 24188     6   202   241     3  5865    68 24188 6056450
0000065788    131213 |    131213  5707  5707     2   120    99     3  4047    56  5707 1280514
0000065789     56162 |     56162  3395  3395     2    66    66     3  3763    52  3395 696322
0000065790      6939 |      6939  2069  2069     0    62    88     3   426     6  2069 289027
0000065791      8255 |      8255  2284  1890     0    93    84     3   284     4  1890 270595
0000065792      4942 |      4942  1217  1217     0   109    59     3   426     6  1217 171267
0000065793      6707 |      6707  1997  1221     0   117    67     3   426     6  1221 171779
0000065794     13376 |     13376  1146   331   104    56    44     3  1083    19   331 79618
0000065795      5835 |      5835   832   331   104    56    44     3   741    13   331 79618
0000065796      8368 |      8368   920   331   104    56    44     3  1083    19   331 79618
0000065797     11077 |     11077  1096   331   104    56    44     3  1083    19   331 79618
0000065798      4097 |      4097   711   331   104    56    44     3   741    13   331 79618
0000065799      6819 |      6819   998   331   104    56    44     3  1083    19   331 79618
0000065800     12834 |     12834  1452  1286   104    83   101     3  1615    19  1286 291842
0000065801      1574 |      1574   131   131     0    14    13     3  2125    24   131 24323
0000065802       947 |       947   131   131     0    14    13     3  1955    22   131 24323
0000065803       455 |       455   131   131     0    14    13     3   850     9   131 24323
0000065804      2112 |      2112   415   415   104    25    26     3   568     8   415 65539
0000065805      1740 |      1740   466   466   104    37    39     3   210     5   466 102659
0000065806      1382 |      1382   397   397   104    41    34     3   210     5   397 84739
0000065807      1446 |      1446   403   403   104    41    34     3   210     5   403 83715
0000065808      1784 |      1784   493   493   104    37    39     3   210     5   493 108547
0000065809      3222 |      3222   661   661   104    33    45     3   781    11   661 137219
0000065810      2990 |      2990   529   508   104    56    23     3   781    11   508 99331
0000065811      2638 |      2638   458   458   104    56    23     3   781    11   458 85763
0000065812      3447 |      3447   721   721   104    33    45     3   781    11   721 154115
0000065813      1177 |      1177   369   369   104    46    21     3   355     5   369 69123
0000065814      1170 |      1170   404   404   104    18    40     3   355     5   404 77827
0000065815      1158 |      1158   399   399   104    18    40     3   355     5   399 76035
0000065816      1205 |      1205   399   399   104    46    21     3   355     5   399 75523
0000065817       582 |       582   314   314   104    39    13     3   355     5   314 61955
0000065818       632 |       632   336   336   104    17    38     3   355     5   336 68099
0000065819       713 |       713   355   355   104    17    38     3   355     5   355 71427
0000065820       527 |       527   270   270   104    39    13     3   355     5   270 50947
0000065821      4089 |      4089   589   589   104    33    45     3   639     9   589 125187
0000065822      3146 |      3146   434   434   104    54    20     3   639     9   434 81923
